"symbol","name","industry","subsector","group","latest","start","latestDate","startDate","diffToMin","diffToMax","diff","min","minDate","median","average","max","maxDate","low","numberOfDates"
"API","Công ty Cổ phần Đầu tư Châu Á Thái Bình Dương","Tài chính","Bất động sản","HNX",20.3,19,"2021-02-25","2021-01-27",4.9,0.2,5.1,15.4,"2021-02-01",18.9,18.65,20.5,"2021-02-23",false,19
"APP","Công ty Cổ phần Phát triển Phụ gia và Sản phẩm dầu mỏ","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HNX",4.4,4.8,"2021-02-25","2021-01-29",0.4,0.4,0.8,4,"2021-02-02",4.4,4.38,4.8,"2021-01-29",false,16
"APS","Công ty Cổ phần Chứng khoán Châu Á - Thái Bình Dương","Tài chính","Môi giới chứng khoán","HNX",7.3,6.6,"2021-02-25","2021-01-27",1.4,0,1.4,5.9,"2021-02-01",6.7,6.67,7.3,"2021-02-25",false,19
"ARM","Công ty Cổ phần Xuất nhập khẩu Hàng không","Công nghiệp","Nhà cung cấp thiết bị","HNX",36.5,36.5,"2021-02-05","2021-02-05",0,0,0,36.5,"2021-02-05",36.5,36.5,36.5,"2021-02-05",false,1
"ART","Công ty Cổ phần Chứng khoán BOS","Tài chính","Môi giới chứng khoán","HNX",5.2,5.7,"2021-02-25","2021-01-27",0.9,0.5,1.4,4.3,"2021-02-01",4.9,4.94,5.7,"2021-01-27",false,19
"ASG","Công ty Cổ phần Tập đoàn ASG","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HOSE",35.35,36.3,"2021-02-25","2021-01-27",35.35,1.05,36.4,0,"2021-02-15",35.5,31.55,36.4,"2021-02-19",false,18
"ASM","Công ty Cổ phần Tập đoàn Sao Mai","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",15.5,19.65,"2021-02-25","2021-01-27",15.5,4.15,19.65,0,"2021-02-15",15.6,14.28,19.65,"2021-01-27",false,19
"ASP","Công ty Cổ phần Tập đoàn Dầu khí An Pha","Tiện ích Cộng đồng","Phân phối xăng dầu & khí đốt","HOSE",6.8,7.19,"2021-02-25","2021-01-27",6.8,0.39,7.19,0,"2021-02-15",6.95,6.22,7.19,"2021-01-27",false,19
"AST","Công ty Cổ phần Dịch vụ Hàng không Taseco","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HOSE",63,61,"2021-02-25","2021-01-27",63,0.3,63.3,0,"2021-02-15",58.5,53.08,63.3,"2021-02-23",false,19
"BAX","Công ty Cổ phần Thống Nhất","Công nghiệp","Xây dựng","HNX",79,69.3,"2021-02-25","2021-01-27",16.6,0,16.6,62.4,"2021-01-28",68.6,70.78,79,"2021-02-25",false,19
"BBC","Công ty Cổ phần Bibica","Hàng Tiêu dùng","Thực phẩm","HOSE",61.5,62,"2021-02-24","2021-01-27",61.5,2.9,64.4,0,"2021-02-15",61.55,54.76,64.4,"2021-02-22",false,18
"BBS","Công ty Cổ phần VICEM Bao bì Bút Sơn","Công nghiệp","Containers & Đóng gói","HNX",10.4,11.5,"2021-02-25","2021-01-27",0.9,1.1,2,9.5,"2021-02-02",10.6,10.19,11.5,"2021-01-27",false,15
"BCC","Công ty Cổ phần Xi măng Bỉm Sơn","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",8.8,8.1,"2021-02-25","2021-01-27",1.5,0.4,1.9,7.3,"2021-01-28",8.4,8.31,9.2,"2021-02-23",false,19
"BCE","Công ty Cổ phần Xây dựng và Giao thông Bình Dương","Công nghiệp","Xây dựng","HOSE",12.8,11,"2021-02-25","2021-01-27",12.8,0,12.8,0,"2021-02-15",11,10,12.8,"2021-02-25",false,19
"BCF","Công ty Cổ phần Thực phẩm Bích Chi","Hàng Tiêu dùng","Thực phẩm","HNX",39.8,42.8,"2021-02-25","2021-01-27",2.3,3,5.3,37.5,"2021-02-02",40,40.13,42.8,"2021-01-27",true,15
"BCG","Công ty Cổ phần Bamboo Capital","Tài chính","Tài chính đặc biệt","HOSE",13.85,13.15,"2021-02-25","2021-01-27",13.85,0.85,14.7,0,"2021-02-15",12.9,11.73,14.7,"2021-02-23",false,19
"BCM","Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP","Tài chính","Bất động sản","HOSE",58.5,58,"2021-02-25","2021-01-27",58.5,2.5,61,0,"2021-02-15",57,51.56,61,"2021-02-22",false,19
"BDB","Công ty Cổ phần Sách và Thiết bị Bình Định","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",11.25,10.5,"2021-02-24","2021-01-29",0.75,0,0.75,10.5,"2021-01-29",11.02,10.95,11.25,"2021-02-23",false,4
"BED","Công ty Cổ phần Sách và Thiết bị trường học Đà Nẵng","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",29,29,"2021-02-18","2021-02-18",0,0,0,29,"2021-02-18",29,29,29,"2021-02-18",false,1
"BFC","Công ty Cổ phần Phân bón Bình Điền","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",17.6,16.45,"2021-02-25","2021-01-27",17.6,0.35,17.95,0,"2021-02-15",16.1,14.71,17.95,"2021-02-23",false,19
"BHN","Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội","Hàng Tiêu dùng","Sản xuất bia ","HOSE",73,79,"2021-02-25","2021-01-27",73,6,79,0,"2021-02-15",73,65.78,79,"2021-01-27",false,19
"BIC","Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam","Tài chính","Bảo hiểm phi nhân thọ","HOSE",20.7,22.05,"2021-02-25","2021-01-27",20.7,1.35,22.05,0,"2021-02-15",20.45,18.39,22.05,"2021-01-27",false,19
"BID","Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam","Ngân hàng","Ngân hàng","VN30",42.95,41.3,"2021-02-25","2021-01-27",42.95,1.15,44.1,0,"2021-02-15",41.35,37.21,44.1,"2021-02-19",false,19
"BII","Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư","Tài chính","Bất động sản","HNX",6.7,6.5,"2021-02-25","2021-01-27",0.9,0.8,1.7,5.8,"2021-01-29",6.6,6.55,7.5,"2021-02-03",false,19
"BKC","Công ty Cổ phần Khoáng sản Bắc Kạn","Nguyên vật liệu","Khai khoáng ","HNX",5.6,5,"2021-02-25","2021-01-27",1,0,1,4.6,"2021-01-29",5,4.91,5.6,"2021-02-25",false,14
"BKG","Công ty Cổ phần Đầu tư BKG Việt Nam","Hàng Tiêu dùng","Hàng cá nhân","HOSE",11.55,11.8,"2021-02-25","2021-01-27",11.55,0.75,12.3,0,"2021-02-15",11.65,10.54,12.3,"2021-02-01",false,19
"BLF","Công ty Cổ phần Thủy sản Bạc Liêu","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HNX",3.3,3.3,"2021-02-19","2021-01-29",0.1,0,0.1,3.2,"2021-02-05",3.3,3.27,3.3,"2021-01-29",false,3
"BMC","Công ty Cổ phần Khoáng sản Bình Định","Nguyên vật liệu","Khai khoáng ","HOSE",14.4,14.9,"2021-02-25","2021-01-27",14.4,0.5,14.9,0,"2021-02-15",13.45,12.23,14.9,"2021-01-27",false,19
"BMI","Tổng Công ty Cổ phần Bảo Minh","Tài chính","Bảo hiểm phi nhân thọ","HOSE",26,26.15,"2021-02-25","2021-01-27",26,1.3,27.3,0,"2021-02-15",25.5,23,27.3,"2021-02-22",false,19
"BMP","Công ty Cổ phần Nhựa Bình Minh","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",62,59.51,"2021-02-25","2021-01-27",62,2,64,0,"2021-02-15",60.1,54.19,64,"2021-02-19",false,19
"BNA","Công ty Cổ phần Đầu tư Sản xuất Bảo Ngọc","Hàng Tiêu dùng","Thực phẩm","HNX",38.5,24.1,"2021-02-25","2021-01-27",16.8,0,16.8,21.7,"2021-01-28",31.9,29.65,38.5,"2021-02-24",false,19
"BPC","Công ty Cổ phần Vicem Bao bì Bỉm Sơn","Công nghiệp","Containers & Đóng gói","HNX",12,10.8,"2021-02-25","2021-01-27",1.2,0,1.2,10.8,"2021-01-27",11.6,11.55,12,"2021-02-25",false,8
"BRC","Công ty Cổ phần Cao su Bến Thành","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",12.2,12.1,"2021-02-24","2021-01-27",12.2,0,12.2,0,"2021-02-15",11.8,10.42,12.2,"2021-02-24",false,17
"BSC","Công ty Cổ phần Dịch vụ Bến Thành","Dịch vụ Tiêu dùng","Phân phối hàng chuyên dụng","HNX",14,12.8,"2021-02-22","2021-02-19",1.2,0,1.2,12.8,"2021-02-19",13.4,13.4,14,"2021-02-22",false,2
"BSI","Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam","Tài chính","Môi giới chứng khoán","HOSE",13.95,13,"2021-02-25","2021-01-27",13.95,0.4,14.35,0,"2021-02-15",13.5,11.78,14.35,"2021-02-17",false,19
"BST","Công ty Cổ phần Sách và Thiết bị Bình Thuận","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",16.1,15.1,"2021-02-25","2021-02-04",1,1.7,2.7,15.1,"2021-02-04",16.35,16.37,17.8,"2021-02-24",true,6
"BTP","Công ty Cổ phần Nhiệt điện Bà Rịa","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HOSE",14.2,14.1,"2021-02-25","2021-01-27",14.2,0.1,14.3,0,"2021-02-15",14,12.58,14.3,"2021-02-24",false,19
"BTS","Công ty Cổ phần Xi măng VICEM Bút Sơn","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",4.3,4.3,"2021-02-25","2021-01-27",0.4,0.2,0.6,3.9,"2021-01-28",4.2,4.18,4.5,"2021-02-23",false,19
"BTT","Công ty Cổ phần Thương mại - Dịch vụ Bến Thành","Dịch vụ Tiêu dùng","Bán lẻ phức hợp","HOSE",52,50.5,"2021-02-23","2021-01-27",2.5,0,2.5,49.5,"2021-02-04",49.95,50.54,52,"2021-02-18",false,10
"BTW","Công ty Cổ phần Cấp nước Bến Thành","Tiện ích Cộng đồng","Nước","HNX",29,27.8,"2021-02-23","2021-01-27",1.2,1.4,2.6,27.8,"2021-01-27",27.9,28.47,30.4,"2021-02-18",false,6
"BVH","Tập đoàn Bảo Việt","Tài chính","Bảo hiểm nhân thọ","HOSE",59.6,58,"2021-02-25","2021-01-27",59.6,2.3,61.9,0,"2021-02-15",58.5,52.46,61.9,"2021-02-17",false,19
"BVS","Công ty Cổ phần Chứng khoán Bảo Việt","Tài chính","Môi giới chứng khoán","HNX30",21.8,17.6,"2021-02-25","2021-01-27",7,0,7,14.8,"2021-02-01",20,19.02,21.8,"2021-02-25",false,19
"BWE","Công ty Cổ phần Nước - Môi trường Bình Dương","Tiện ích Cộng đồng","Nước","HOSE",30.4,28,"2021-02-25","2021-01-27",30.4,0.6,31,0,"2021-02-15",28.05,25.69,31,"2021-02-19",false,19
"C32","Công ty Cổ phần CIC39","Công nghiệp","Xây dựng","HOSE",26.9,25.5,"2021-02-25","2021-01-27",26.9,0.3,27.2,0,"2021-02-15",25.2,22.85,27.2,"2021-02-22",false,19
"C47","Công ty Cổ phần Xây dựng 47","Công nghiệp","Xây dựng","HOSE",11.5,11.2,"2021-02-25","2021-01-27",11.5,0.25,11.75,0,"2021-02-15",10.5,9.67,11.75,"2021-02-22",false,19
"C69","Công ty Cổ phần Xây dựng 1369","Công nghiệp","Xây dựng","HNX",15,14.2,"2021-02-25","2021-01-27",2.2,0.8,3,12.8,"2021-01-28",14,14.16,15.8,"2021-02-22",false,19
"C92","Công ty Cổ phần Xây dựng và Đầu tư 492","Công nghiệp","Xây dựng","HNX",4.5,4.5,"2021-02-25","2021-01-27",0.8,0.5,1.3,3.7,"2021-02-01",4.5,4.49,5,"2021-02-09",false,17
"CAG","Công ty Cổ phần Cảng An Giang","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",16.3,19.9,"2021-02-25","2021-01-27",1.4,3.6,5,14.9,"2021-02-24",16.4,16.79,19.9,"2021-01-27",true,16
"CAN","Công ty Cổ phần Đồ hộp Hạ Long","Hàng Tiêu dùng","Thực phẩm","HNX",25.5,25.1,"2021-02-24","2021-01-28",2.5,0,2.5,23,"2021-02-02",25.1,24.33,25.5,"2021-02-24",false,9
"CAP","Công ty Cổ phần Lâm Nông sản Thực phẩm Yên Bái","Nguyên vật liệu","Sản xuất giấy","HNX30",49,43.8,"2021-02-25","2021-01-27",8.2,0.2,8.4,40.8,"2021-01-28",45.5,45.55,49.2,"2021-02-22",false,19
"CAV","Công ty Cổ phần Dây cáp điện Việt Nam","Công nghiệp","Hàng điện & điện tử","HOSE",64,66.5,"2021-02-25","2021-01-27",64,2.5,66.5,0,"2021-02-15",65.5,58.06,66.5,"2021-01-27",false,18
"CCI","Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi","Tài chính","Bất động sản","HOSE",15.35,15.6,"2021-02-25","2021-01-27",15.35,1.45,16.8,0,"2021-02-15",15.6,13.71,16.8,"2021-02-22",false,17
"CCL","Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long","Tài chính","Bất động sản","HOSE",13.2,10.6,"2021-02-25","2021-01-27",13.2,0,13.2,0,"2021-02-15",12.4,9.96,13.2,"2021-02-23",false,19
"CDC","Công ty Cổ phần Chương Dương","Công nghiệp","Xây dựng","HOSE",15.35,17,"2021-02-25","2021-01-27",15.35,1.65,17,0,"2021-02-15",15.9,14.42,17,"2021-01-27",false,19
"CDN","Công ty Cổ phần Cảng Đà Nẵng","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",30.7,29.5,"2021-02-25","2021-01-27",6.5,1.6,8.1,24.2,"2021-02-02",29.5,29.06,32.3,"2021-02-19",false,19
"CEE","Công ty Cổ phần Xây dựng Hạ tầng CII","Công nghiệp","Xây dựng","HOSE",18.3,16,"2021-02-24","2021-01-27",2.3,0,2.3,16,"2021-01-27",17,17.2,18.3,"2021-02-23",false,11
"CEO","Công ty Cổ phần Tập đoàn C.E.O","Tài chính","Bất động sản","HNX30",10.6,10,"2021-02-25","2021-01-27",1.7,0.6,2.3,8.9,"2021-02-01",8.9,9.86,11.2,"2021-02-19",false,19
"CET","Công ty Cổ phần Tech - Vina","Hàng Tiêu dùng","Hàng cá nhân","HNX",4,3.6,"2021-02-25","2021-01-27",0.7,0.1,0.8,3.3,"2021-01-28",3.9,3.85,4.1,"2021-02-18",false,19
"CHP","Công ty Cổ phần Thủy điện Miền Trung","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HOSE",18.7,18.9,"2021-02-25","2021-01-27",18.7,0.2,18.9,0,"2021-02-15",18.55,16.66,18.9,"2021-01-27",false,19
"CIA","Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",13.8,14.8,"2021-02-25","2021-01-27",0.78,1,1.78,13.02,"2021-02-05",13.68,13.82,14.8,"2021-01-27",true,18
"CIG","Công ty Cổ phần COMA 18","Công nghiệp","Xây dựng","HOSE",3.35,3.86,"2021-02-25","2021-01-27",3.35,0.55,3.9,0,"2021-02-15",3.21,2.96,3.9,"2021-02-22",false,19
"CII","Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM","Công nghiệp","Xây dựng","HOSE",21.5,21.9,"2021-02-25","2021-01-27",21.5,1.1,22.6,0,"2021-02-15",21.35,19.19,22.6,"2021-02-17",false,19
"CJC","Công ty Cổ phần Cơ điện Miền Trung","Công nghiệp","Thiết bị điện","HNX",22.9,22.2,"2021-02-22","2021-02-17",0.7,1.1,1.8,22.2,"2021-02-17",22.9,23.03,24,"2021-02-18",true,3
"CKG","Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang","Công nghiệp","Xây dựng","HOSE",15.8,15.3,"2021-02-25","2021-01-27",15.8,1.3,17.1,0,"2021-02-15",15.95,14.33,17.1,"2021-02-19",false,19
"CKV","Công ty Cổ phần CokyVina","Công nghệ Thông tin","Thiết bị viễn thông","HNX",12,11.7,"2021-02-25","2021-01-29",0.9,0,0.9,11.1,"2021-02-01",11.4,11.53,12,"2021-02-23",false,12
"CLC","Công ty Cổ phần Cát Lợi","Hàng Tiêu dùng","Thuốc lá","HOSE",35.75,32.95,"2021-02-25","2021-01-27",35.75,0,35.75,0,"2021-02-15",32.98,29.77,35.75,"2021-02-25",false,18
"CLH","Công ty Cổ phần Xi măng La Hiên VVMI","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",18.8,19.1,"2021-02-25","2021-01-27",1.2,0.9,2.1,17.6,"2021-02-02",19.1,18.91,19.7,"2021-01-28",true,16
"CLL","Công ty Cổ phần Cảng Cát Lái","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HOSE",31,30,"2021-02-25","2021-01-27",31,0.4,31.4,0,"2021-02-15",30,26.99,31.4,"2021-02-19",false,19
"CLM","Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin","Nguyên vật liệu","Khai thác Than","HNX",20,20.4,"2021-02-24","2021-01-28",1.8,0.4,2.2,18.2,"2021-02-18",20,19.44,20.4,"2021-01-28",false,5
"CLW","Công ty Cổ phần Cấp nước Chợ Lớn","Tiện ích Cộng đồng","Nước","HOSE",23.5,27,"2021-02-25","2021-01-28",23.5,3.5,27,0,"2021-02-15",23.5,19.27,27,"2021-01-28",false,9
"CMC","Công ty Cổ phần Đầu tư CMC","Hàng Tiêu dùng","Sản xuất ô tô","HNX",5.6,6.1,"2021-02-24","2021-01-27",0,0.5,0.5,5.6,"2021-02-24",6.1,6.02,6.1,"2021-01-27",true,13
"CMG","Công ty Cổ phần Tập đoàn Công nghệ CMC","Công nghệ Thông tin","Dịch vụ Máy tính","HOSE",34.3,33.3,"2021-02-25","2021-01-27",34.3,0.05,34.35,0,"2021-02-15",33.3,29.7,34.35,"2021-02-24",false,19
"CMS","Công ty Cổ phần CMVIETNAM","Công nghiệp","Đào tạo & Việc làm","HNX",3.3,3.5,"2021-02-25","2021-01-27",0.2,0.2,0.4,3.1,"2021-01-29",3.2,3.21,3.5,"2021-01-27",false,19
"CMV","Công ty Cổ phần Thương nghiệp Cà Mau","Dịch vụ Tiêu dùng","Bán lẻ phức hợp","HOSE",14.4,17.5,"2021-02-25","2021-02-03",0,3.1,3.1,14.4,"2021-02-25",16.2,16.16,17.5,"2021-02-03",true,5
"CMX","Công ty Cổ phần CAMIMEX Group","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",15.2,15.25,"2021-02-25","2021-01-27",15.2,0.45,15.65,0,"2021-02-15",15,13.38,15.65,"2021-02-19",false,19
"CNG","Công ty Cổ phần CNG Việt Nam","Tiện ích Cộng đồng","Phân phối xăng dầu & khí đốt","HOSE",23.5,22.6,"2021-02-25","2021-01-27",23.5,0.85,24.35,0,"2021-02-15",21.9,20.11,24.35,"2021-02-18",false,19
"COM","Công ty Cổ phần Vật tư Xăng dầu","Dịch vụ Tiêu dùng","Phân phối hàng chuyên dụng","HOSE",46.45,44.05,"2021-02-25","2021-01-27",46.45,0.05,46.5,0,"2021-02-15",44,38.37,46.5,"2021-02-09",false,15
"CPC","Công ty Cổ phần Thuốc sát trùng Cần Thơ","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HNX",18.8,17.1,"2021-02-25","2021-01-27",1.7,0.1,1.8,17.1,"2021-01-27",18,18.01,18.9,"2021-02-18",false,15
"CRC","Công ty Cổ phần Create Capital Việt Nam","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",10.25,8.85,"2021-02-25","2021-01-27",10.25,0,10.25,0,"2021-02-15",8.51,7.96,10.25,"2021-02-25",false,19
"CRE","Công ty Cổ phần Bất động sản Thế Kỷ","Tài chính","Bất động sản","HOSE",24,24.5,"2021-02-25","2021-01-27",24,0.5,24.5,0,"2021-02-15",23.8,21.26,24.5,"2021-01-27",false,19
"CSC","Công ty Cổ phần Tập đoàn COTANA","Tài chính","Bất động sản","HNX",32.2,26,"2021-02-25","2021-01-27",8.8,0,8.8,23.4,"2021-01-28",26.2,26.67,32.2,"2021-02-25",false,19
"CSM","Công ty Cổ phần Công nghiệp Cao su Miền Nam","Hàng Tiêu dùng","Lốp xe","HOSE",18.9,19.2,"2021-02-25","2021-01-27",18.9,0.3,19.2,0,"2021-02-15",18.4,16.49,19.2,"2021-01-27",false,19
"CSV","Công ty Cổ phần Hóa chất Cơ bản miền Nam","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",29.4,30,"2021-02-25","2021-01-27",29.4,0.6,30,0,"2021-02-15",28.3,25.66,30,"2021-01-27",false,19
"CTB","Công ty Cổ phần Chế tạo Bơm Hải Dương","Công nghiệp","Máy công nghiệp","HNX",29.3,28.3,"2021-02-23","2021-01-28",1,2.7,3.7,28.3,"2021-01-28",28.6,29.37,32,"2021-02-01",true,15
"CTC","Công ty Cổ phần Gia Lai CTC","Dịch vụ Tiêu dùng","Vận tải hành khách & Du lịch","HNX",3.2,3.8,"2021-02-19","2021-01-29",0,0.6,0.6,3.2,"2021-02-19",3.5,3.5,3.8,"2021-01-29",true,3
"CTD","Công ty Cổ phần Xây dựng Coteccons","Công nghiệp","Xây dựng","HOSE",74.8,75.8,"2021-02-25","2021-01-27",74.8,1.3,76.1,0,"2021-02-15",71.4,64.61,76.1,"2021-02-23",false,19
"CTF","Công ty Cổ phần City Auto","Hàng Tiêu dùng","Sản xuất ô tô","HOSE",20.9,20,"2021-02-25","2021-01-27",20.9,0.1,21,0,"2021-02-15",20.2,18.19,21,"2021-02-04",false,19
"CTG","Ngân hàng Thương mại Cổ phần Công thương Việt Nam","Ngân hàng","Ngân hàng","VN30",37.3,32.6,"2021-02-25","2021-01-27",37.3,0.2,37.5,0,"2021-02-15",34.9,31.24,37.5,"2021-02-24",false,19
"CTI","Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO","Công nghiệp","Xây dựng","HOSE",15.4,15.1,"2021-02-25","2021-01-27",15.4,0.1,15.5,0,"2021-02-15",14.6,13.1,15.5,"2021-02-23",false,19
"CTP","Công ty Cổ phần Minh Khang Capital Trading Public","Hàng Tiêu dùng","Đồ uống & giải khát","HNX",4.2,4,"2021-02-25","2021-01-27",0.6,0,0.6,3.6,"2021-01-28",3.9,3.97,4.2,"2021-02-17",false,19
"CTS","Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam","Tài chính","Môi giới chứng khoán","HOSE",15.1,13.65,"2021-02-25","2021-01-27",15.1,0.1,15.2,0,"2021-02-15",14.1,12.44,15.2,"2021-02-24",false,19
"CTT","Công ty Cổ phần Chế tạo máy Vinacomin","Công nghiệp","Máy công nghiệp","HNX",10.4,10.3,"2021-02-17","2021-01-27",0.4,0,0.4,10,"2021-01-28",10.25,10.22,10.4,"2021-02-17",false,4
"CTX","Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam","Công nghiệp","Xây dựng","HNX",8.5,8.2,"2021-02-25","2021-01-27",1.1,0,1.1,7.4,"2021-01-28",8.2,8.16,8.5,"2021-02-17",false,11
"CVN","Công ty Cổ phần Vinam","Công nghiệp","Xây dựng","HNX",10,9.9,"2021-02-25","2021-01-27",1.7,0.2,1.9,8.3,"2021-02-01",8.7,9.06,10.2,"2021-02-24",false,19
"CVT","Công ty Cổ phần CMC","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",45.6,42.15,"2021-02-25","2021-01-27",45.6,0,45.6,0,"2021-02-15",41,37.81,45.6,"2021-02-23",false,19
"CX8","Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8","Công nghiệp","Xây dựng","HNX",7.8,7.8,"2021-01-27","2021-01-27",0,0,0,7.8,"2021-01-27",7.8,7.8,7.8,"2021-01-27",false,1
"D11","Công ty Cổ phần Địa ốc 11","Tài chính","Bất động sản","HNX",27,28.3,"2021-02-25","2021-01-27",2.7,1.3,4,24.3,"2021-02-01",26.5,26.23,28.3,"2021-01-27",false,19
"D2D","Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2","Tài chính","Bất động sản","HOSE",57.3,53.3,"2021-02-25","2021-01-27",57.3,0.4,57.7,0,"2021-02-15",54.5,48.92,57.7,"2021-02-18",false,19
"DAD","Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",18.8,17.5,"2021-02-25","2021-01-28",1.4,1,2.4,17.4,"2021-01-29",18.7,18.69,19.8,"2021-02-09",false,16
"DAE","Công ty Cổ phần Sách Giáo dục tại TP.Đà Nẵng","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",19,16.3,"2021-02-25","2021-01-27",3.7,0.8,4.5,15.3,"2021-02-02",16.4,17.09,19.8,"2021-02-24",false,19
"DAG","Công ty Cổ phần Tập đoàn Nhựa Đông Á","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",6.49,6.8,"2021-02-25","2021-01-27",6.49,0.31,6.8,0,"2021-02-15",6.35,5.76,6.8,"2021-01-27",false,19
"DAH","Công ty Cổ phần Tập đoàn Khách sạn Đông Á","Dịch vụ Tiêu dùng","Khách sạn","HOSE",4.2,4.08,"2021-02-25","2021-01-27",4.2,0.05,4.25,0,"2021-02-15",3.8,3.46,4.25,"2021-02-24",false,19
"DAT","Công ty cổ phần Đầu tư Du lịch và Phát triển Thủy sản","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",27,29.5,"2021-02-24","2021-01-27",27,2.5,29.5,0,"2021-02-15",27.73,25,29.5,"2021-01-27",false,18
"DBC","Công ty Cổ phần Tập đoàn Dabaco Việt Nam","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",51.2,50,"2021-02-25","2021-01-27",51.2,2.8,54,0,"2021-02-15",50,44.89,54,"2021-02-19",false,19
"DBD","Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định","Dược phẩm và Y tế","Dược phẩm","HOSE",48.7,47.9,"2021-02-25","2021-01-27",48.7,0.1,48.8,0,"2021-02-15",47.9,42.8,48.8,"2021-02-23",false,19
"DBT","Công ty Cổ phần Dược phẩm Bến Tre","Dược phẩm và Y tế","Dược phẩm","HOSE",13,12.35,"2021-02-25","2021-01-27",13,0.45,13.45,0,"2021-02-15",12.99,11.54,13.45,"2021-02-19",false,19
"DC2","Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2","Công nghiệp","Xây dựng","HNX",12.9,11.7,"2021-02-25","2021-01-27",2.4,0,2.4,10.5,"2021-01-29",11.5,11.48,12.9,"2021-02-25",false,19
"DC4","Công ty Cổ phần Xây dựng DIC Holdings","Công nghiệp","Xây dựng","HOSE",11.3,11.5,"2021-02-25","2021-01-27",11.3,0.2,11.5,0,"2021-02-15",10.7,9.56,11.5,"2021-01-27",false,19
"DCL","Công ty Cổ phần Dược phẩm Cửu Long","Dược phẩm và Y tế","Dược phẩm","HOSE",27.9,27.7,"2021-02-25","2021-01-27",27.9,0.95,28.85,0,"2021-02-15",27.5,24.58,28.85,"2021-02-18",false,19
"DCM","Công ty Cổ phần Phân bón Dầu Khí Cà Mau","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",13.4,13.2,"2021-02-25","2021-01-27",13.4,0.4,13.8,0,"2021-02-15",12.75,11.57,13.8,"2021-02-19",false,19
