"symbol","name","industry","subsector","group","latest","start","latestDate","startDate","diffToMin","diffToMax","diff","min","minDate","median","average","max","maxDate","low","numberOfDates"
"VFG","Công ty Cổ phần Khử trùng Việt Nam","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",44.1,45,"2021-02-25","2021-01-28",0,2.9,2.9,44.1,"2021-02-25",46.1,45.88,47,"2021-02-05",true,6
"VGC","Tổng Công ty Viglacera - Công ty Cổ phần","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",37.45,33.15,"2021-02-25","2021-01-27",37.45,0.8,38.25,0,"2021-02-15",35.2,31.53,38.25,"2021-02-03",false,19
"VGP","Công ty Cổ phần Cảng Rau Quả","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",22.8,23.1,"2021-02-24","2021-01-27",2,0.3,2.3,20.8,"2021-02-03",22.8,22.23,23.1,"2021-01-27",false,3
"VGS","Công ty Cổ phần Ống thép Việt Đức VG PIPE","Nguyên vật liệu","Thép và sản phẩm thép","HNX",16.7,12.2,"2021-02-25","2021-01-27",5.7,0,5.7,11,"2021-01-28",12.6,13.27,16.7,"2021-02-25",false,19
"VHC","Công ty Cổ phần Vĩnh Hoàn","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",39.9,40.7,"2021-02-25","2021-01-27",39.9,0.8,40.7,0,"2021-02-15",37.9,34.11,40.7,"2021-01-27",false,19
"VHE","Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam","Dược phẩm và Y tế","Dược phẩm","HNX",5.8,4.9,"2021-02-25","2021-01-27",1.7,0,1.7,4.1,"2021-02-01",4.6,4.79,5.8,"2021-02-25",false,19
"VHL","Công ty Cổ phần Viglacera Hạ Long","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",25.4,27,"2021-02-25","2021-01-27",2.4,1.6,4,23,"2021-02-02",25.5,25.37,27,"2021-01-27",false,17
"VHM","Công ty Cổ phần Vinhomes","Tài chính","Bất động sản","VN30",102.8,93.9,"2021-02-25","2021-01-27",102.8,3,105.8,0,"2021-02-15",87.4,87.78,105.8,"2021-02-22",false,19
"VIB","Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam","Ngân hàng","Ngân hàng","HOSE",38.45,33.45,"2021-02-25","2021-01-27",38.45,0,38.45,0,"2021-02-15",34.8,31.4,38.45,"2021-02-25",false,19
"VIC","Tập đoàn Vingroup - Công ty Cổ phần","Tài chính","Bất động sản","VN30",108.9,100,"2021-02-25","2021-01-27",108.9,1.1,110,0,"2021-02-15",108,94.12,110,"2021-02-18",false,19
"VID","Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông","Nguyên vật liệu","Sản xuất giấy","HOSE",10.75,10.1,"2021-02-25","2021-01-27",10.75,0.25,11,0,"2021-02-15",10.28,9.23,11,"2021-02-08",false,18
"VIF","Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần","Nguyên vật liệu","Lâm sản và Chế biến gỗ","HNX",17.8,17.5,"2021-02-25","2021-01-27",1.7,0.8,2.5,16.1,"2021-01-28",17.9,17.75,18.6,"2021-02-22",false,15
