"symbol","industry","market","name","sector","subsector","supersector","group","listingDate"
"TDT","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Đầu tư và Phát triển TDT","Hàng cá nhân","Hàng May mặc","Hàng cá nhân & Gia dụng","HNX","2018-07-18"
"TDW","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Cấp nước Thủ Đức","Nước & Khí đốt","Nước","Điện, nước & xăng dầu khí đốt","HOSE","2010-11-11"
"TEG","Tài chính","HOSE","Công ty Cổ phần Năng Lượng và Bất động sản Trường Thành","Bất động sản","Bất động sản","Bất động sản","HOSE","2015-12-22"
"TET","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Vải sợi May mặc Miền Bắc","Hàng cá nhân","Hàng May mặc","Hàng cá nhân & Gia dụng","HNX","2010-04-28"
"TFC","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Trang","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HNX","2015-12-03"
"TGG","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư và Xây dựng Trường Giang","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2018-05-25"
"THB","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Bia Hà Nội - Thanh Hóa","Bia và đồ uống","Sản xuất bia ","Thực phẩm và đồ uống","HNX","2008-11-19"
"THD","Tài chính","HNX ","Công ty Cổ phần Thaiholdings","Bất động sản","Bất động sản","Bất động sản","HNX","2020-06-19"
"THG","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2011-07-28"
"THI","Công nghiệp","HOSE","Công ty Cổ phần Thiết bị điện","Điện tử & Thiết bị điện","Thiết bị điện","Hàng & Dịch vụ Công nghiệp","HOSE","2017-06-15"
"THS","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Thanh Hoa Sông Đà","Bán lẻ","Bán lẻ phức hợp","Bán lẻ","HNX","2013-11-12"
"THT","Nguyên vật liệu","HNX ","Công ty Cổ phần Than Hà Tu - Vinacomin","Khai khoáng","Khai thác Than","Tài nguyên Cơ bản","HNX","2008-10-24"
"TIG","Tài chính","HNX ","Công ty Cổ phần Tập đoàn Đầu tư Thăng Long","Bất động sản","Bất động sản","Bất động sản","HNX","2010-10-08"
"TIP","Tài chính","HOSE","Công ty Cổ phần Phát triển Khu công nghiệp Tín Nghĩa","Bất động sản","Bất động sản","Bất động sản","HOSE","2016-06-06"
"TIX","Tài chính","HOSE","Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình","Bất động sản","Bất động sản","Bất động sản","HOSE","2009-11-25"
"TJC","Công nghiệp","HNX ","Công ty Cổ phần Dịch vụ Vận tải và Thương mại","Vận tải","Dịch vụ vận tải","Hàng & Dịch vụ Công nghiệp","HNX","2007-12-17"
"TKC","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng và Kinh doanh Địa ốc Tân Kỷ","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-12-01"
"TKU","Nguyên vật liệu","HNX ","Công ty Cổ phần Công nghiệp Tung Kuang","Kim loại","Nhôm","Tài nguyên Cơ bản","HNX","2006-06-26"
"TLD","Tài chính","HOSE","Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long","Bất động sản","Bất động sản","Bất động sản","HOSE","2017-12-07"
"TLG","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Tập đoàn Thiên Long","Hàng gia dụng","Đồ gia dụng một lần","Hàng cá nhân & Gia dụng","HOSE","2010-03-26"
"TLH","Nguyên vật liệu","HOSE","Công ty Cổ phần Tập đoàn Thép Tiến Lên","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HOSE","2010-03-16"
"TMB","Nguyên vật liệu","HNX ","Công ty Cổ phần Kinh doanh Than Miền Bắc - Vinacomin","Khai khoáng","Khai thác Than","Tài nguyên Cơ bản","HNX","2017-01-16"
"TMC","Tiện ích Cộng đồng","HNX ","Công ty Cổ phần Thương mại Xuất nhập khẩu Thủ Đức","Nước & Khí đốt","Phân phối xăng dầu & khí đốt","Điện, nước & xăng dầu khí đốt","HNX","2006-12-26"
"TMP","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Thủy điện Thác Mơ","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2009-06-18"
"TMS","Công nghiệp","HOSE","Công ty Cổ phần Transimex","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HOSE","2000-08-04"
"TMT","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Ô tô TMT","Ô tô và phụ tùng","Sản xuất ô tô","Ô tô và phụ tùng","HOSE","2010-01-22"
"TMX","Công nghiệp","HNX ","Công ty Cổ phần VICEM Thương mại Xi măng","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2009-11-02"
"TN1","Tài chính","HOSE","Công ty Cổ phần Thương mại Dịch vụ TNS Holdings","Bất động sản","Bất động sản","Bất động sản","HOSE","2019-05-30"
"TNA","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Thương mại Xuất nhập khẩu Thiên Nam","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HOSE","2005-07-20"
"TNC","Nguyên vật liệu","HOSE","Công ty Cổ phần Cao su Thống Nhất","Hóa chất","Nhựa, cao su & sợi","Hóa chất","HOSE","2007-08-22"
"TNG","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Đầu tư và Thương mại TNG","Hàng cá nhân","Hàng May mặc","Hàng cá nhân & Gia dụng","HNX30","2007-11-22"
"TNH","Dược phẩm và Y tế","HOSE","Công ty Cổ phần Bệnh viện Quốc tế Thái Nguyên","Thiết bị và Dịch vụ Y tế","Chăm sóc y tế","Y tế","HOSE","1753-01-01"
"TNI","Nguyên vật liệu","HOSE","Công ty Cổ phần Tập đoàn Thành Nam","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HOSE","2017-05-29"
"TNT","Nguyên vật liệu","HOSE","Công ty Cổ phần Tài Nguyên","Khai khoáng","Khai khoáng ","Tài nguyên Cơ bản","HOSE","2010-05-21"
"TPB","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Tiên Phong","Ngân hàng","Ngân hàng","Ngân hàng","HOSE","2018-04-19"
"TPC","Nguyên vật liệu","HOSE","Công ty Cổ phần Nhựa Tân Đại Hưng","Hóa chất","Nhựa, cao su & sợi","Hóa chất","HOSE","2007-11-28"
"TPH","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần In Sách giáo khoa tại TP.Hà Nội","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2006-12-15"
"TPP","Công nghiệp","HNX ","Công ty Cổ phần Nhựa Tân Phú","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HNX","2008-09-26"
"TRA","Dược phẩm và Y tế","HOSE","Công ty Cổ phần Traphaco","Dược phẩm","Dược phẩm","Y tế","HOSE","2008-11-26"
"TRC","Nguyên vật liệu","HOSE","Công ty Cổ phần Cao su Tây Ninh","Hóa chất","Nhựa, cao su & sợi","Hóa chất","HOSE","2007-07-24"
"TS4","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Thủy sản số 4","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2002-08-08"
"TSB","Công nghiệp","HNX ","Công ty Cổ phần Ắc quy Tia Sáng","Điện tử & Thiết bị điện","Hàng điện & điện tử","Hàng & Dịch vụ Công nghiệp","HNX","2011-01-19"
"TSC","Nguyên vật liệu","HOSE","Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HOSE","2007-10-04"
"TST","Công nghệ Thông tin","HNX ","Công ty Cổ phần Dịch vụ Kỹ thuật Viễn thông","Phần mềm & Dịch vụ Máy tính","Dịch vụ Máy tính","Công nghệ Thông tin","HNX","2007-12-13"
"TTA","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư Xây dựng và Phát triển Trường Thành","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2020-09-18"
"TTB","Công nghiệp","HOSE","Công ty Cổ phần Tập đoàn Tiến Bộ","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2015-01-26"
"TTC","Công nghiệp","HNX ","Công ty Cổ phần Gạch men Thanh Thanh","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2006-08-08"
"TTE","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Đầu tư Năng lượng Trường Thịnh","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2018-12-10"
"TTF","Nguyên vật liệu","HOSE","Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành","Lâm nghiệp và Giấy","Lâm sản và Chế biến gỗ","Tài nguyên Cơ bản","HOSE","2008-02-18"
"TTH","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Thương mại và Dịch vụ Tiến Thành","Bán lẻ","Bán lẻ hàng may mặc","Bán lẻ","HNX","2016-10-26"
"TTL","Công nghiệp","HNX ","Tổng Công ty Thăng Long - Công ty Cổ phần","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2018-01-18"
"TTT","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh","Du lịch & Giải trí","Vận tải hành khách & Du lịch","Du lịch và Giải trí","HNX","2017-06-02"
"TTZ","Công nghiệp","HNX ","Công ty Cổ phần Đầu tư Xây dựng và Công nghệ Tiến Trung","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2013-01-29"
"TV2","Công nghiệp","HOSE","Công ty Cổ phần Tư vấn Xây dựng Điện 2","Tư vấn & Hỗ trợ Kinh doanh","Tư vấn & Hỗ trợ KD","Hàng & Dịch vụ Công nghiệp","HOSE","2009-10-13"
"TV3","Công nghiệp","HNX ","Công ty Cổ phần Tư vấn Xây dựng Điện 3","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-12-01"
"TV4","Công nghiệp","HNX ","Công ty Cổ phần Tư vấn Xây dựng Điện 4","Tư vấn & Hỗ trợ Kinh doanh","Tư vấn & Hỗ trợ KD","Hàng & Dịch vụ Công nghiệp","HNX","2008-07-22"
"TVB","Tài chính","HOSE","Công ty Cổ phần Chứng khoán Trí Việt","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2015-06-18"
"TVC","Tài chính","HNX ","Công ty Cổ phần Tập đoàn Quản lý Tài sản Trí Việt","Dịch vụ tài chính","Tài chính đặc biệt","Dich vu tài chính","HNX30","2014-09-23"
"TVD","Nguyên vật liệu","HNX ","Công ty Cổ phần Than Vàng Danh - Vinacomin","Khai khoáng","Khai thác Than","Tài nguyên Cơ bản","HNX","2011-01-11"
"TVS","Tài chính","HOSE","Công ty Cổ phần Chứng khoán Thiên Việt","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2015-01-15"
"TVT","Hàng Tiêu dùng","HOSE","Tổng Công ty Việt Thắng - CTCP","Hàng cá nhân","Hàng May mặc","Hàng cá nhân & Gia dụng","HOSE","2017-07-17"
"TXM","Công nghiệp","HNX ","Công ty Cổ phần VICEM Thạch cao Xi Măng","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2006-12-11"
"TYA","Công nghiệp","HOSE","Công ty Cổ phần Dây và Cáp điện Taya Việt Nam","Điện tử & Thiết bị điện","Hàng điện & điện tử","Hàng & Dịch vụ Công nghiệp","HOSE","2006-02-15"
"UDC","Công nghiệp","HOSE","Công ty Cổ phần Xây dựng và Phát triển đô thị Tỉnh Bà Rịa - Vũng Tàu","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2010-07-05"
"UIC","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2007-11-12"
"UNI","Công nghệ Thông tin","HNX ","Công ty Cổ phần Viễn Liên","Phần mềm & Dịch vụ Máy tính","Dịch vụ Máy tính","Công nghệ Thông tin","HNX","2006-05-30"
"V12","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng số 12","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2010-01-05"
"V21","Công nghiệp","HNX ","Công ty Cổ phần Vinaconex 21","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2010-04-21"
"VAF","Nguyên vật liệu","HOSE","Công ty Cổ phần Phân lân nung chảy Văn Điển","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HOSE","2015-06-23"
"VAT","Công nghệ Thông tin","HNX ","Công ty Cổ phần VT Vạn Xuân","Thiết bị và Phần cứng","Thiết bị viễn thông","Công nghệ Thông tin","HNX","2010-12-15"
"VBC","Công nghiệp","HNX ","Công ty Cổ phần Nhựa - Bao bì Vinh","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HNX","2010-03-17"
"VC1","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng số 1","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-05-14"
"VC2","Công nghiệp","HNX ","Công ty Cổ phần Đầu tư và Xây dựng VINA2","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-11"
"VC3","Tài chính","HNX ","Công ty Cổ phần Tập đoàn Nam Mê Kông","Bất động sản","Bất động sản","Bất động sản","HNX30","2007-12-13"
"VC6","Công nghiệp","HNX ","Công ty cổ phần Xây dựng và Đầu tư Visicons","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2008-01-28"
"VC7","Công nghiệp","HNX ","Công ty Cổ Phần Xây dựng số 7","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2007-12-28"
"VC9","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng số 9","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-11-05"
"VCB","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam","Ngân hàng","Ngân hàng","Ngân hàng","VN30","2009-06-30"
"VCC","Công nghiệp","HNX ","Công ty Cổ phần Vinaconex 25","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-02-05"
"VCF","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Vinacafe Biên Hòa","Bia và đồ uống","Đồ uống & giải khát","Thực phẩm và đồ uống","HOSE","2011-01-28"
"VCG","Công nghiệp","HOSE","Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2008-09-05"
"VCI","Tài chính","HOSE","Công ty Cổ phần Chứng khoán Bản Việt","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2017-07-07"
"VCM","Công nghiệp","HNX ","Công ty Cổ phần Nhân lực và Thương mại Vinaconex","Tư vấn & Hỗ trợ Kinh doanh","Đào tạo & Việc làm","Hàng & Dịch vụ Công nghiệp","HNX","2010-05-11"
"VCS","Công nghiệp","HNX ","Công ty Cổ phần VICOSTONE","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX30","2007-12-17"
"VDL","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Thực phẩm Lâm Đồng","Bia và đồ uống","Vang & Rượu mạnh","Thực phẩm và đồ uống","HNX","2007-11-27"
"VDP","Dược phẩm và Y tế","HOSE","Công ty Cổ phần Dược phẩm Trung ương VIDIPHA","Dược phẩm","Dược phẩm","Y tế","HOSE","2017-08-15"
"VDS","Tài chính","HOSE","Công ty Cổ phần Chứng khoán Rồng Việt","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2010-05-25"
"VE1","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng điện VNECO 1","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2008-09-04"
"VE2","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng Điện VNECO 2","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2010-07-26"
"VE3","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng điện VNECO 3","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2010-06-30"
"VE4","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng điện VNECO4","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2012-10-16"
"VE8","Công nghiệp","HNX ","Công ty Cổ phần Xây dựng Điện Vneco 8","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2012-08-27"
"VFG","Nguyên vật liệu","HOSE","Công ty Cổ phần Khử trùng Việt Nam","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HOSE","2009-12-17"
"VGC","Công nghiệp","HOSE","Tổng Công ty Viglacera - Công ty Cổ phần","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2015-10-15"
"VGP","Công nghiệp","HNX ","Công ty Cổ phần Cảng Rau Quả","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HNX","2006-11-29"
"VGS","Nguyên vật liệu","HNX ","Công ty Cổ phần Ống thép Việt Đức VG PIPE","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HNX","2008-12-04"
"VHC","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Vĩnh Hoàn","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2007-12-24"
"VHE","Dược phẩm và Y tế","HNX ","Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam","Dược phẩm","Dược phẩm","Y tế","HNX","2019-01-14"
"VHL","Công nghiệp","HNX ","Công ty Cổ phần Viglacera Hạ Long","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2009-02-12"
"VHM","Tài chính","HOSE","Công ty Cổ phần Vinhomes","Bất động sản","Bất động sản","Bất động sản","VN30","2018-05-17"
"VIB","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam","Ngân hàng","Ngân hàng","Ngân hàng","HOSE","2017-01-09"
"VIC","Tài chính","HOSE","Tập đoàn Vingroup - Công ty Cổ phần","Bất động sản","Bất động sản","Bất động sản","VN30","2007-09-19"
"VID","Nguyên vật liệu","HOSE","Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông","Lâm nghiệp và Giấy","Sản xuất giấy","Tài nguyên Cơ bản","HOSE","2006-12-25"
"VIE","Công nghệ Thông tin","HNX ","Công ty Cổ phần Công nghệ Viễn thông VI TE CO","Thiết bị và Phần cứng","Thiết bị viễn thông","Công nghệ Thông tin","HNX","2011-05-06"
"VIF","Nguyên vật liệu","HNX ","Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần","Lâm nghiệp và Giấy","Lâm sản và Chế biến gỗ","Tài nguyên Cơ bản","HNX","2017-01-12"
"VIG","Tài chính","HNX ","Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HNX","2009-12-01"
"VIP","Công nghiệp","HOSE","Công ty Cổ phần Vận tải Xăng dầu VIPCO","Vận tải","Vận tải Thủy","Hàng & Dịch vụ Công nghiệp","HOSE","2006-12-21"
"VIS","Nguyên vật liệu","HOSE","Công ty Cổ phần Thép Việt Ý","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HOSE","2006-12-25"
"VIT","Công nghiệp","HNX ","Công ty Cổ phần Viglacera Tiên Sơn","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2009-11-03"
"VIX","Tài chính","HNX ","Công ty Cổ phần Chứng khoán VIX","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2009-12-29"
"VJC","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Hàng không Vietjet","Du lịch & Giải trí","Hàng không","Du lịch và Giải trí","VN30","2017-02-28"
"VKC","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Cáp nhựa Vĩnh Khánh","Ô tô và phụ tùng","Lốp xe","Ô tô và phụ tùng","HNX","2010-12-08"
"VLA","Công nghệ Thông tin","HNX ","Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang","Phần mềm & Dịch vụ Máy tính","Phần mềm","Công nghệ Thông tin","HNX","2010-08-04"
"VMC","Công nghiệp","HNX ","Công ty Cổ phần VIMECO","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX30","2006-12-11"
"VMD","Dược phẩm và Y tế","HOSE","Công ty Cổ phần Y Dược phẩm Vimedimex","Dược phẩm","Dược phẩm","Y tế","HOSE","2010-09-30"
"VMI","Công nghiệp","HNX ","Công ty Cổ phần Khoáng sản và Đầu tư VISACO","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2014-10-09"
"VMS","Công nghiệp","HNX ","Công ty Cổ phần Phát triển Hàng Hải","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HNX","2015-10-20"
"VNC","Công nghiệp","HNX ","Công ty Cổ phần Tập đoàn Vinacontrol","Tư vấn & Hỗ trợ Kinh doanh","Tư vấn & Hỗ trợ KD","Hàng & Dịch vụ Công nghiệp","HNX","2006-12-21"
"VND","Tài chính","HOSE","Công ty Cổ phần Chứng khoán VNDIRECT","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HOSE","2010-03-30"
"VNE","Công nghiệp","HOSE","Tổng Công ty Cổ phần Xây dựng điện Việt Nam","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2007-08-09"
"VNF","Công nghiệp","HNX ","Công ty Cổ phần Vinafreight","Vận tải","Dịch vụ vận tải","Hàng & Dịch vụ Công nghiệp","HNX","2010-12-01"
"VNG","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Du Lịch Thành Thành Công","Du lịch & Giải trí","Khách sạn","Du lịch và Giải trí","HOSE","2009-12-17"
"VNL","Công nghiệp","HOSE","Công ty Cổ phần Logistics Vinalink","Vận tải","Dịch vụ vận tải","Hàng & Dịch vụ Công nghiệp","HOSE","2009-08-17"
"VNM","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Sữa Việt Nam","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","VN30","2006-01-19"
"VNR","Tài chính","HNX ","Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam","Bảo hiểm phi nhân thọ","Tái bảo hiểm","Bảo hiểm","HNX","2006-03-13"
"VNS","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Ánh Dương Việt Nam","Du lịch & Giải trí","Vận tải hành khách & Du lịch","Du lịch và Giải trí","HOSE","2008-07-29"
"VNT","Công nghiệp","HNX ","Công ty Cổ phần Giao nhận Vận tải Ngoại Thương","Vận tải","Dịch vụ vận tải","Hàng & Dịch vụ Công nghiệp","HNX","2009-08-14"
"VOS","Công nghiệp","HOSE","Công ty Cổ phần Vận tải Biển Việt Nam","Vận tải","Vận tải Thủy","Hàng & Dịch vụ Công nghiệp","HOSE","2010-09-08"
"VPB","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng","Ngân hàng","Ngân hàng","Ngân hàng","VN30","2017-08-17"
"VPD","Công nghiệp","HOSE","Công ty Cổ phần Phát triển Điện lực Việt Nam","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2016-04-12"
"VPG","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát","Bán lẻ","Phân phối hàng chuyên dụng","Bán lẻ","HOSE","2018-01-18"
"VPH","Tài chính","HOSE","Công ty Cổ phần Vạn Phát Hưng","Bất động sản","Bất động sản","Bất động sản","HOSE","2009-09-09"
"VPI","Tài chính","HOSE","Công ty Cổ phần Đầu tư Văn Phú - Invest","Bất động sản","Bất động sản","Bất động sản","HOSE","2017-11-28"
"VPS","Nguyên vật liệu","HOSE","Công ty Cổ phần Thuốc sát trùng Việt Nam","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HOSE","2015-08-19"
"VRC","Tài chính","HOSE","Công ty Cổ phần Bất động sản và Đầu tư VRC","Bất động sản","Bất động sản","Bất động sản","HOSE","2010-07-26"
"VRE","Tài chính","HOSE","Công ty Cổ phần Vincom Retail","Bất động sản","Bất động sản","Bất động sản","VN30","2017-11-06"
"VSA","Công nghiệp","HNX ","Công ty Cổ phần Đại lý Hàng hải Việt Nam","Vận tải","Dịch vụ vận tải","Hàng & Dịch vụ Công nghiệp","HNX","2015-12-22"
"VSC","Công nghiệp","HOSE","Công ty Cổ phần Container Việt Nam","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HOSE","2008-01-09"
"VSH","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2006-07-18"
"VSI","Công nghiệp","HOSE","Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2010-12-24"
"VSM","Công nghiệp","HNX ","Công ty Cổ phần Container Miền Trung","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HNX","2017-07-17"
"VTB","Công nghiệp","HOSE","Công ty Cổ phần Viettronics Tân Bình","Điện tử & Thiết bị điện","Hàng điện & điện tử","Hàng & Dịch vụ Công nghiệp","HOSE","2006-12-27"
"VTC","Công nghệ Thông tin","HNX ","Công ty Cổ phần Viễn Thông VTC","Thiết bị và Phần cứng","Thiết bị viễn thông","Công nghệ Thông tin","HNX","2003-01-24"
"VTH","Công nghiệp","HNX ","Công ty Cổ phần Dây cáp điện Việt Thái","Điện tử & Thiết bị điện","Hàng điện & điện tử","Hàng & Dịch vụ Công nghiệp","HNX","2014-10-29"
"VTJ","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA","Thuốc lá","Thuốc lá","Hàng cá nhân & Gia dụng","HNX","2014-12-29"
"VTL","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Vang Thăng Long","Bia và đồ uống","Vang & Rượu mạnh","Thực phẩm và đồ uống","HNX","2005-07-14"
"VTO","Công nghiệp","HOSE","Công ty Cổ phần Vận tải Xăng dầu VITACO","Vận tải","Vận tải Thủy","Hàng & Dịch vụ Công nghiệp","HOSE","2007-10-09"
