"symbol","industry","market","name","sector","subsector","supersector","group","listingDate"
"RAL","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Bóng đèn Phích nước Rạng Đông","Hàng gia dụng","Thiết bị gia dụng","Hàng cá nhân & Gia dụng","HOSE","2006-12-06"
"RCL","Tài chính","HNX ","Công ty Cổ phần Địa ốc Chợ Lớn","Bất động sản","Bất động sản","Bất động sản","HNX","2007-06-14"
"RDP","Nguyên vật liệu","HOSE","Công ty Cổ phần Rạng Đông Holding","Hóa chất","Nhựa, cao su & sợi","Hóa chất","HOSE","2009-09-22"
"REE","Công nghiệp","HOSE","Công ty Cổ phần Cơ điện Lạnh","Công nghiệp nặng","Máy công nghiệp","Hàng & Dịch vụ Công nghiệp","VN30","2000-07-28"
"RIC","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Quốc Tế Hoàng Gia","Du lịch & Giải trí","Dịch vụ giải trí","Du lịch và Giải trí","HOSE","2007-07-31"
"ROS","Công nghiệp","HOSE","Công ty Cổ phần Xây dựng FLC FAROS","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","VN30","2016-09-01"
"S4A","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Thủy điện Sê San 4A","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2016-05-27"
"S55","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 505","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-22"
"S74","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 7.04","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-07-02"
"S99","Công nghiệp","HNX ","Công ty Cổ phần SCI","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-22"
"SAB","Hàng Tiêu dùng","HOSE","Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn","Bia và đồ uống","Sản xuất bia ","Thực phẩm và đồ uống","VN30","2016-12-06"
"SAF","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Lương thực Thực phẩm SAFOCO","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HNX","2006-12-05"
"SAM","Công nghệ Thông tin","HOSE","Công ty Cổ phần SAM Holdings","Thiết bị và Phần cứng","Thiết bị viễn thông","Công nghệ Thông tin","HOSE","2000-07-28"
"SAV","Công nghiệp","HOSE","Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HOSE","2002-05-09"
"SBA","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Sông Ba","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2010-06-01"
"SBT","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Thành Thành Công - Biên Hòa","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","VN30","2008-02-25"
"SBV","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Siam Brothers Việt Nam","Bán lẻ","Phân phối hàng chuyên dụng","Bán lẻ","HOSE","2017-05-16"
"SC5","Công nghiệp","HOSE","Công ty Cổ phần Xây dựng số 5","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2007-10-18"
"SCD","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Nước giải khát Chương Dương","Bia và đồ uống","Đồ uống & giải khát","Thực phẩm và đồ uống","HOSE","2006-12-25"
"SCI","Công nghiệp","HNX ","Công ty Cổ phần SCI E&C","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2014-06-30"
"SCR","Tài chính","HOSE","Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín","Bất động sản","Bất động sản","Bất động sản","HOSE","2016-11-18"
"SCS","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn","Du lịch & Giải trí","Hàng không","Du lịch và Giải trí","HOSE","2017-07-12"
"SD2","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 2","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2007-11-30"
"SD4","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 4","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2008-06-25"
"SD5","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 5","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-27"
"SD6","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 6","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-25"
"SD9","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 9","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-20"
"SDA","Công nghiệp","HNX ","Công ty Cổ phần SIMCO Sông Đà","Tư vấn & Hỗ trợ Kinh doanh","Đào tạo & Việc làm","Hàng & Dịch vụ Công nghiệp","HNX","2006-12-21"
"SDC","Công nghiệp","HNX ","Công ty Cổ phần Tư vấn Sông Đà","Tư vấn & Hỗ trợ Kinh doanh","Tư vấn & Hỗ trợ KD","Hàng & Dịch vụ Công nghiệp","HNX","2006-12-25"
"SDG","Công nghiệp","HNX ","Công ty Cổ phần Sadico Cần Thơ","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HNX","2009-12-21"
"SDN","Công nghiệp","HNX ","Công ty Cổ phần Sơn Đồng Nai","Xây dựng và Vật liệu","Vật liệu xây dựng & Nội thất","Xây dựng và Vật liệu","HNX","2006-12-25"
"SDT","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 10","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-14"
"SDU","Công nghiệp","HNX ","Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Sông Đà","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-09-28"
"SEB","Tiện ích Cộng đồng","HNX ","Công ty Cổ phần Đầu tư và Phát triển Điện Miền Trung","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HNX","2009-01-14"
"SED","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Đầu tư và Phát triển Giáo dục Phương Nam","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2009-08-19"
"SFC","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Nhiên liệu Sài Gòn","Nước & Khí đốt","Phân phối xăng dầu & khí đốt","Điện, nước & xăng dầu khí đốt","HOSE","2004-09-21"
"SFG","Nguyên vật liệu","HOSE","Công ty Cổ phần Phân bón Miền Nam","Hóa chất","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","Hóa chất","HOSE","2014-12-01"
"SFI","Công nghiệp","HOSE","Công ty Cổ phần Đại lý Vận tải Safi","Vận tải","Vận tải Thủy","Hàng & Dịch vụ Công nghiệp","HOSE","2006-12-29"
"SFN","Công nghiệp","HNX ","Công ty Cổ phần Dệt lưới Sài Gòn","Tư vấn & Hỗ trợ Kinh doanh","Nhà cung cấp thiết bị","Hàng & Dịch vụ Công nghiệp","HNX","2006-11-29"
"SGC","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Xuất nhập khẩu Sa Giang","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HNX","2006-07-28"
"SGD","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Sách Giáo dục tại TP.HCM","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2006-12-28"
"SGH","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Khách sạn Sài Gòn","Du lịch & Giải trí","Khách sạn","Du lịch và Giải trí","HNX","2001-07-13"
"SGN","Công nghiệp","HOSE","Công ty Cổ phần Phục vụ mặt đất Sài Gòn","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HOSE","2015-12-10"
"SGR","Tài chính","HOSE","Công ty Cổ phần Địa ốc Sài Gòn","Bất động sản","Bất động sản","Bất động sản","HOSE","2015-05-11"
"SGT","Công nghệ Thông tin","HOSE","Công ty Cổ phần Công nghệ Viễn thông Sài Gòn","Phần mềm & Dịch vụ Máy tính","Internet","Công nghệ Thông tin","HOSE","2008-01-18"
"SHA","Nguyên vật liệu","HOSE","Công ty Cổ phần Sơn Hà Sài Gòn","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HOSE","2016-11-30"
"SHB","Ngân hàng","HNX ","Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội","Ngân hàng","Ngân hàng","Ngân hàng","HNX30","2009-04-20"
"SHE","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Phát triển Năng Lượng Sơn Hà","Hàng gia dụng","Đồ gia dụng lâu bền","Hàng cá nhân & Gia dụng","HNX","2019-01-25"
"SHI","Nguyên vật liệu","HOSE","Công ty Cổ phần Quốc tế Sơn Hà","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HOSE","2009-12-30"
"SHN","Công nghiệp","HNX ","Công ty Cổ phần Đầu tư Tổng hợp Hà Nội","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2009-12-16"
"SHP","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Thủy điện Miền Nam","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2010-09-10"
"SHS","Tài chính","HNX ","Công ty Cổ phần Chứng khoán Sài Gòn - Hà Nội","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","HNX30","2009-06-25"
"SIC","Công nghiệp","HNX ","Công ty Cổ phần ANI","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2006-12-27"
"SII","Công nghiệp","HOSE","Công ty Cổ phần Hạ tầng Nước Sài Gòn","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HOSE","2012-09-12"
"SJ1","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Nông nghiệp Hùng Hậu","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HNX","2006-12-29"
"SJC","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 1.01","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2007-11-21"
"SJD","Tiện ích Cộng đồng","HOSE","Công ty Cổ phần Thủy điện Cần Đơn","Sản xuất & Phân phối Điện","Sản xuất & Phân phối Điện","Điện, nước & xăng dầu khí đốt","HOSE","2006-12-25"
"SJE","Công nghiệp","HNX ","Công ty Cổ phần Sông Đà 11","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX30","2006-12-14"
"SJF","Dược phẩm và Y tế","HOSE","Công ty Cổ phần Đầu tư Sao Thái Dương","Dược phẩm","Công nghệ sinh học","Y tế","HOSE","2017-07-05"
"SJS","Tài chính","HOSE","Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp Sông Đà","Bất động sản","Bất động sản","Bất động sản","HOSE","2006-07-06"
"SKG","Dịch vụ Tiêu dùng","HOSE","Công ty Cổ phần Tàu Cao tốc Superdong - Kiên Giang","Du lịch & Giải trí","Vận tải hành khách & Du lịch","Du lịch và Giải trí","HOSE","2014-07-08"
"SLS","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Mía đường Sơn La","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HNX30","2012-10-16"
"SMA","Công nghiệp","HOSE","Công ty Cổ phần Thiết bị Phụ tùng Sài Gòn","Tư vấn & Hỗ trợ Kinh doanh","Nhà cung cấp thiết bị","Hàng & Dịch vụ Công nghiệp","HOSE","2010-10-19"
"SMB","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Bia Sài Gòn - Miền Trung","Bia và đồ uống","Sản xuất bia ","Thực phẩm và đồ uống","HOSE","2010-09-08"
"SMC","Nguyên vật liệu","HOSE","Công ty Cổ phần Đầu tư Thương mại SMC","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HOSE","2006-10-30"
"SMN","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Sách và thiết bị giáo dục Miền Nam","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2015-07-14"
"SMT","Công nghệ Thông tin","HNX ","Công ty Cổ phần SAMETEL","Thiết bị và Phần cứng","Thiết bị viễn thông","Công nghệ Thông tin","HNX","2010-07-30"
"SPI","Nguyên vật liệu","HNX ","Công ty Cổ phần SPI","Khai khoáng","Khai khoáng ","Tài nguyên Cơ bản","HNX","2012-09-26"
"SPM","Dược phẩm và Y tế","HOSE","Công ty Cổ phần S.P.M","Dược phẩm","Dược phẩm","Y tế","HOSE","2010-05-21"
"SRA","Công nghệ Thông tin","HNX ","Công ty Cổ phần SARA Việt Nam","Phần mềm & Dịch vụ Máy tính","Phần mềm","Công nghệ Thông tin","HNX","2008-01-18"
"SRC","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Cao su Sao Vàng","Ô tô và phụ tùng","Lốp xe","Ô tô và phụ tùng","HOSE","2009-10-07"
"SRF","Công nghiệp","HOSE","Công ty Cổ phần Kỹ nghệ lạnh","Công nghiệp nặng","Máy công nghiệp","Hàng & Dịch vụ Công nghiệp","HOSE","2009-10-21"
"SSC","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Giống cây trồng Miền Nam","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HOSE","2005-03-01"
"SSI","Tài chính","HOSE","Công ty Cổ phần Chứng khoán SSI","Dịch vụ tài chính","Môi giới chứng khoán","Dich vu tài chính","VN30","2006-12-15"
