name,level,level_en,province,province_id
Phú Mỹ,Thị Xã,Town,Bà Rịa - Vũng Tàu,ba-ria-vung-tau
Côn Đảo,Huyện,Rural District,Bà Rịa - Vũng Tàu,ba-ria-vung-tau
1,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
12,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Thủ Đức,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
9,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Gò Vấp,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Bình Thạnh,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Tân Bình,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Tân Phú,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Phú Nhuận,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
2,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
3,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
10,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
11,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
4,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
5,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
6,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
8,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Bình Tân,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
7,Quận,Urban District,Hồ Chí Minh,ho-chi-minh
Củ Chi,Huyện,Rural District,Hồ Chí Minh,ho-chi-minh
Hóc Môn,Huyện,Rural District,Hồ Chí Minh,ho-chi-minh
Bình Chánh,Huyện,Rural District,Hồ Chí Minh,ho-chi-minh
Nhà Bè,Huyện,Rural District,Hồ Chí Minh,ho-chi-minh
Cần Giờ,Huyện,Rural District,Hồ Chí Minh,ho-chi-minh
Tân An,Thành Phố,City,Long An,long-an
Kiến Tường,Thị Xã,Town,Long An,long-an
Tân Hưng,Huyện,Rural District,Long An,long-an
Vĩnh Hưng,Huyện,Rural District,Long An,long-an
Mộc Hóa,Huyện,Rural District,Long An,long-an
Tân Thạnh,Huyện,Rural District,Long An,long-an
Thạnh Hóa,Huyện,Rural District,Long An,long-an
Đức Huệ,Huyện,Rural District,Long An,long-an
Đức Hòa,Huyện,Rural District,Long An,long-an
Bến Lức,Huyện,Rural District,Long An,long-an
Thủ Thừa,Huyện,Rural District,Long An,long-an
Tân Trụ,Huyện,Rural District,Long An,long-an
Cần Đước,Huyện,Rural District,Long An,long-an
Cần Giuộc,Huyện,Rural District,Long An,long-an
Châu Thành,Huyện,Rural District,Long An,long-an
Mỹ Tho,Thành Phố,City,Tiền Giang,tien-giang
Gò Công,Thị Xã,Town,Tiền Giang,tien-giang
Cai Lậy,Huyện,Rural District,Tiền Giang,tien-giang
Tân Phước,Huyện,Rural District,Tiền Giang,tien-giang
Cái Bè,Huyện,Rural District,Tiền Giang,tien-giang
Cai Lậy,Thị Xã,Town,Tiền Giang,tien-giang
Châu Thành,Huyện,Rural District,Tiền Giang,tien-giang
Chợ Gạo,Huyện,Rural District,Tiền Giang,tien-giang
Gò Công Tây,Huyện,Rural District,Tiền Giang,tien-giang
Gò Công Đông,Huyện,Rural District,Tiền Giang,tien-giang
Tân Phú Đông,Huyện,Rural District,Tiền Giang,tien-giang
Bến Tre,Thành Phố,City,Bến Tre,ben-tre
Châu Thành,Huyện,Rural District,Bến Tre,ben-tre
Chợ Lách,Huyện,Rural District,Bến Tre,ben-tre
Mỏ Cày Nam,Huyện,Rural District,Bến Tre,ben-tre
Giồng Trôm,Huyện,Rural District,Bến Tre,ben-tre
Bình Đại,Huyện,Rural District,Bến Tre,ben-tre
Ba Tri,Huyện,Rural District,Bến Tre,ben-tre
Thạnh Phú,Huyện,Rural District,Bến Tre,ben-tre
Mỏ Cày Bắc,Huyện,Rural District,Bến Tre,ben-tre
Trà Vinh,Thành Phố,City,Trà Vinh,tra-vinh
Càng Long,Huyện,Rural District,Trà Vinh,tra-vinh
Cầu Kè,Huyện,Rural District,Trà Vinh,tra-vinh
Tiểu Cần,Huyện,Rural District,Trà Vinh,tra-vinh
Châu Thành,Huyện,Rural District,Trà Vinh,tra-vinh
Cầu Ngang,Huyện,Rural District,Trà Vinh,tra-vinh
Trà Cú,Huyện,Rural District,Trà Vinh,tra-vinh
Duyên Hải,Huyện,Rural District,Trà Vinh,tra-vinh
Duyên Hải,Thị Xã,Town,Trà Vinh,tra-vinh
Vĩnh Long,Thành Phố,City,Vĩnh Long,vinh-long
Long Hồ,Huyện,Rural District,Vĩnh Long,vinh-long
Mang Thít,Huyện,Rural District,Vĩnh Long,vinh-long
Vũng Liêm,Huyện,Rural District,Vĩnh Long,vinh-long
Tam Bình,Huyện,Rural District,Vĩnh Long,vinh-long
Bình Minh,Thị Xã,Town,Vĩnh Long,vinh-long
Trà Ôn,Huyện,Rural District,Vĩnh Long,vinh-long
Bình Tân,Huyện,Rural District,Vĩnh Long,vinh-long
Cao Lãnh,Thành Phố,City,Đồng Tháp,dong-thap
Sa Đéc,Thành Phố,City,Đồng Tháp,dong-thap
Hồng Ngự,Thị Xã,Town,Đồng Tháp,dong-thap
Tân Hồng,Huyện,Rural District,Đồng Tháp,dong-thap
Hồng Ngự,Huyện,Rural District,Đồng Tháp,dong-thap
Tam Nông,Huyện,Rural District,Đồng Tháp,dong-thap
Tháp Mười,Huyện,Rural District,Đồng Tháp,dong-thap
Cao Lãnh,Huyện,Rural District,Đồng Tháp,dong-thap
Thanh Bình,Huyện,Rural District,Đồng Tháp,dong-thap
Lấp Vò,Huyện,Rural District,Đồng Tháp,dong-thap
Lai Vung,Huyện,Rural District,Đồng Tháp,dong-thap
Châu Thành,Huyện,Rural District,Đồng Tháp,dong-thap
Long Xuyên,Thành Phố,City,An Giang,an-giang
Châu Đốc,Thành Phố,City,An Giang,an-giang
An Phú,Huyện,Rural District,An Giang,an-giang
Tân Châu,Thị Xã,Town,An Giang,an-giang
Phú Tân,Huyện,Rural District,An Giang,an-giang
Châu Phú,Huyện,Rural District,An Giang,an-giang
Tịnh Biên,Huyện,Rural District,An Giang,an-giang
Tri Tôn,Huyện,Rural District,An Giang,an-giang
Châu Thành,Huyện,Rural District,An Giang,an-giang
Chợ Mới,Huyện,Rural District,An Giang,an-giang
Thoại Sơn,Huyện,Rural District,An Giang,an-giang
Rạch Giá,Thành Phố,City,Kiên Giang,kien-giang
Hà Tiên,Thành Phố,City,Kiên Giang,kien-giang
Kiên Lương,Huyện,Rural District,Kiên Giang,kien-giang
Hòn Đất,Huyện,Rural District,Kiên Giang,kien-giang
Tân Hiệp,Huyện,Rural District,Kiên Giang,kien-giang
Châu Thành,Huyện,Rural District,Kiên Giang,kien-giang
Giồng Riềng,Huyện,Rural District,Kiên Giang,kien-giang
Gò Quao,Huyện,Rural District,Kiên Giang,kien-giang
An Biên,Huyện,Rural District,Kiên Giang,kien-giang
An Minh,Huyện,Rural District,Kiên Giang,kien-giang
Vĩnh Thuận,Huyện,Rural District,Kiên Giang,kien-giang
Phú Quốc,Huyện,Rural District,Kiên Giang,kien-giang
Kiên Hải,Huyện,Rural District,Kiên Giang,kien-giang
U Minh Thượng,Huyện,Rural District,Kiên Giang,kien-giang
Giang Thành,Huyện,Rural District,Kiên Giang,kien-giang
Ninh Kiều,Quận,Urban District,Cần Thơ,can-tho
Ô Môn,Quận,Urban District,Cần Thơ,can-tho
Bình Thuỷ,Quận,Urban District,Cần Thơ,can-tho
Cái Răng,Quận,Urban District,Cần Thơ,can-tho
Thốt Nốt,Quận,Urban District,Cần Thơ,can-tho
Vĩnh Thạnh,Huyện,Rural District,Cần Thơ,can-tho
Cờ Đỏ,Huyện,Rural District,Cần Thơ,can-tho
Phong Điền,Huyện,Rural District,Cần Thơ,can-tho
Thới Lai,Huyện,Rural District,Cần Thơ,can-tho
Vị Thanh,Thành Phố,City,Hậu Giang,hau-giang
Ngã Bảy,Thị Xã,Town,Hậu Giang,hau-giang
Châu Thành A,Huyện,Rural District,Hậu Giang,hau-giang
Châu Thành,Huyện,Rural District,Hậu Giang,hau-giang
Phụng Hiệp,Huyện,Rural District,Hậu Giang,hau-giang
Vị Thuỷ,Huyện,Rural District,Hậu Giang,hau-giang
Long Mỹ,Huyện,Rural District,Hậu Giang,hau-giang
Long Mỹ,Thị Xã,Town,Hậu Giang,hau-giang
Sóc Trăng,Thành Phố,City,Sóc Trăng,soc-trang
Châu Thành,Huyện,Rural District,Sóc Trăng,soc-trang
Kế Sách,Huyện,Rural District,Sóc Trăng,soc-trang
Mỹ Tú,Huyện,Rural District,Sóc Trăng,soc-trang
Cù Lao Dung,Huyện,Rural District,Sóc Trăng,soc-trang
Long Phú,Huyện,Rural District,Sóc Trăng,soc-trang
Mỹ Xuyên,Huyện,Rural District,Sóc Trăng,soc-trang
Ngã Năm,Thị Xã,Town,Sóc Trăng,soc-trang
Thạnh Trị,Huyện,Rural District,Sóc Trăng,soc-trang
Vĩnh Châu,Thị Xã,Town,Sóc Trăng,soc-trang
Trần Đề,Huyện,Rural District,Sóc Trăng,soc-trang
Bạc Liêu,Thành Phố,City,Bạc Liêu,bac-lieu
Hồng Dân,Huyện,Rural District,Bạc Liêu,bac-lieu
Phước Long,Huyện,Rural District,Bạc Liêu,bac-lieu
Vĩnh Lợi,Huyện,Rural District,Bạc Liêu,bac-lieu
Giá Rai,Thị Xã,Town,Bạc Liêu,bac-lieu
Đông Hải,Huyện,Rural District,Bạc Liêu,bac-lieu
Hoà Bình,Huyện,Rural District,Bạc Liêu,bac-lieu
Cà Mau,Thành Phố,City,Cà Mau,ca-mau
U Minh,Huyện,Rural District,Cà Mau,ca-mau
Thới Bình,Huyện,Rural District,Cà Mau,ca-mau
Trần Văn Thời,Huyện,Rural District,Cà Mau,ca-mau
Cái Nước,Huyện,Rural District,Cà Mau,ca-mau
Đầm Dơi,Huyện,Rural District,Cà Mau,ca-mau
Năm Căn,Huyện,Rural District,Cà Mau,ca-mau
Phú Tân,Huyện,Rural District,Cà Mau,ca-mau
Ngọc Hiển,Huyện,Rural District,Cà Mau,ca-mau
