"language","color","extensions"
"Mercury","#ff2b2b",".m,.moo"
"Meson","#007800",""
"Metal","#8f14e9",".metal"
"Mirah","#c7a938",".druby,.duby,.mirah"
"Modula-3","#223388",".i3,.ig,.m3,.mg"
"NCL","#28431f",".ncl"
"NWScript","#111522",".nss"
"Nearley","#990000",".ne,.nearley"
"Nemerle","#3d3c6e",".n"
"NetLinx","#0aa0ff",".axs,.axi"
"NetLinx+ERB","#747faa",".axs.erb,.axi.erb"
"NetLogo","#ff6375",".nlogo"
"NewLisp","#87AED7",".nl,.lisp,.lsp"
"Nextflow","#3ac486",".nf"
"Nim","#ffc200",".nim,.nim.cfg,.nimble,.nimrod,.nims"
"Nit","#009917",".nit"
"Nix","#7e7eff",".nix"
"Nu","#c9df40",".nu"
"NumPy","#9C8AF9",".numpy,.numpyw,.numsc"
"OCaml","#3be133",".ml,.eliom,.eliomi,.ml4,.mli,.mll,.mly"
"ObjectScript","#424893",".cls"
"Objective-C","#438eff",".m,.h"
"Objective-C++","#6866fb",".mm"
"Objective-J","#ff0c5a",".j,.sj"
"Odin","#60AFFE",".odin"
"Omgrofl","#cabbff",".omgrofl"
"Opal","#f7ede0",".opal"
"OpenQASM","#AA70FF",".qasm"
"Oxygene","#cdd0e3",".oxygene"
"Oz","#fab738",".oz"
"P4","#7055b5",".p4"
"PHP","#4F5D95",".php,.aw,.ctp,.fcgi,.inc,.php3,.php4,.php5,.phps,.phpt"
"PLSQL","#dad8d8",".pls,.bdy,.ddl,.fnc,.pck,.pkb,.pks,.plb,.plsql,.prc,.spc,.sql,.tpb,.tps,.trg,.vw"
"Pan","#cc0000",".pan"
"Papyrus","#6600cc",".psc"
"Parrot","#f3ca0a",".parrot"
"Pascal","#E3F171",".pas,.dfm,.dpr,.inc,.lpr,.pascal,.pp"
"Pawn","#dbb284",".pwn,.inc,.sma"
"Pep8","#C76F5B",".pep"
"Perl","#0298c3",".pl,.al,.cgi,.fcgi,.perl,.ph,.plx,.pm,.psgi,.t"
"PigLatin","#fcd7de",".pig"
"Pike","#005390",".pike,.pmod"
"PogoScript","#d80074",".pogo"
"PowerBuilder","#8f0f8d",".pbt,.sra,.sru,.srw"
"PowerShell","#012456",".ps1,.psd1,.psm1"
"Processing","#0096D8",".pde"
"Prolog","#74283c",".pl,.pro,.prolog,.yap"
"Propeller Spin","#7fa2a7",".spin"
"Puppet","#302B6D",".pp"
"PureBasic","#5a6986",".pb,.pbi"
"PureScript","#1D222D",".purs"
